County,FIPS,States
Jasper County, 18073 FIPS Code, Indiana
Jay County, 18075 FIPS Code, Indiana
Jefferson County, 18077 FIPS Code, Indiana
Jennings County, 18079 FIPS Code, Indiana
Johnson County, 18081 FIPS Code, Indiana
Knox County, 18083 FIPS Code, Indiana
Kosciusko County, 18085 FIPS Code, Indiana
LaGrange County, 18087 FIPS Code, Indiana
Lake County, 18089 FIPS Code, Indiana
LaPorte County, 18091 FIPS Code, Indiana
Lawrence County, 18093 FIPS Code, Indiana
Madison County, 18095 FIPS Code, Indiana
Marion County, 18097 FIPS Code, Indiana
Marshall County, 18099 FIPS Code, Indiana
Martin County, 18101 FIPS Code, Indiana
Miami County, 18103 FIPS Code, Indiana
Monroe County, 18105 FIPS Code, Indiana
Montgomery County, 18107 FIPS Code, Indiana
Morgan County, 18109 FIPS Code, Indiana
Newton County, 18111 FIPS Code, Indiana
Noble County, 18113 FIPS Code, Indiana
Ohio County, 18115 FIPS Code, Indiana
Orange County, 18117 FIPS Code, Indiana
Owen County, 18119 FIPS Code, Indiana
Parke County, 18121 FIPS Code, Indiana
Perry County, 18123 FIPS Code, Indiana
Pike County, 18125 FIPS Code, Indiana
Porter County, 18127 FIPS Code, Indiana
Posey County, 18129 FIPS Code, Indiana
Pulaski County, 18131 FIPS Code, Indiana
Putnam County, 18133 FIPS Code, Indiana
Randolph County, 18135 FIPS Code, Indiana
Ripley County, 18137 FIPS Code, Indiana
Rush County, 18139 FIPS Code, Indiana
Scott County, 18143 FIPS Code, Indiana
Shelby County, 18145 FIPS Code, Indiana
Spencer County, 18147 FIPS Code, Indiana
St. Joseph County, 18141 FIPS Code, Indiana
Starke County, 18149 FIPS Code, Indiana
Steuben County, 18151 FIPS Code, Indiana
Sullivan County, 18153 FIPS Code, Indiana
Switzerland County, 18155 FIPS Code, Indiana
Tippecanoe County, 18157 FIPS Code, Indiana
Tipton County, 18159 FIPS Code, Indiana
Union County, 18161 FIPS Code, Indiana
Vanderburgh County, 18163 FIPS Code, Indiana
Vermillion County, 18165 FIPS Code, Indiana
Vigo County, 18167 FIPS Code, Indiana
Wabash County, 18169 FIPS Code, Indiana
Warren County, 18171 FIPS Code, Indiana
Warrick County, 18173 FIPS Code, Indiana
Washington County, 18175 FIPS Code, Indiana
Wayne County, 18177 FIPS Code, Indiana
Wells County, 18179 FIPS Code, Indiana
White County, 18181 FIPS Code, Indiana
Whitley County, 18183 FIPS Code, Indiana
